slug,base.book,base.chapter,base.chapter_part,base.subchapter,base.subject,base.result_metric,base.recommendation,base.budget.description,base.budget.millions,base.budget.year_span,base.responsible_authority.main,base.responsible_authority.secondary
42,"דו""ח ועדת טרכטנברג",שוק העבודה - מיעוטים,,התמודדות עם חסמים לתעסוקה,הפעלת תכנית ללימודי סיעוד לנשים ממגזר המיעוטים,סיום לימודים בהצלחה והשתלבות בעבודה בסיעוד של כ-85% מהתלמידות,"הפעלת תכנית ללימודי סיעוד לנשים ממגזר המיעוטים בדרום הארץ, הכוללת מימון לימודים ומלגות קיום","כחלק מהתמודדות עם החסמים לתעסוקה בשוק העבודה - מיעוטים, שעלותו הכוללת היא 785 מלש""ח על פני החומש הקרוב (2012 - 120; 2013 - 150; 2014 - 185; 2015 - 165; 2016 - 165)",785,5,"שר האוצר, שר התמ""ת",
43,"דו""ח ועדת טרכטנברג",שוק העבודה - מיעוטים,,התמודדות עם חסמים לתעסוקה,הפעלת תכנית להשלמת השכלת יסוד ,קליטה בתעסוקה של לפחות מחצית מהמשתתפות,"הפעלת תכנית להשלמת השכלת יסוד (""תכנית עידית""), תוך כדי מתן ליווי שוטף והכוון תעסוקתי עם סוף הלימודים","כחלק מהתמודדות עם החסמים לתעסוקה בשוק העבודה - מיעוטים, שעלותו הכוללת היא 785 מלש""ח על פני החומש הקרוב (2012 - 120; 2013 - 150; 2014 - 185; 2015 - 165; 2016 - 165)",785,5,"שר האוצר, שר החינוך",
44,"דו""ח ועדת טרכטנברג",שוק העבודה - מיעוטים,,התמודדות עם חסמים לתעסוקה,הפעלת תכנית הכשרה להשכלה גבוהה לבני מיעוטים,"השתלבות באקדמיה
של לפחות 80%
מהמשתתפות","הפעלת תכנית הכשרה להשכלה גבוהה (חיזוק אנגלית, הכנה לפסיכומטרי, ייעוץ והכוון וכו'). התכנית תופעל על ידי מרכזי ההכוון הייעודיים","כחלק מהתמודדות עם החסמים לתעסוקה בשוק העבודה - מיעוטים, שעלותו הכוללת היא 785 מלש""ח על פני החומש הקרוב (2012 - 120; 2013 - 150; 2014 - 185; 2015 - 165; 2016 - 165)",785,5,"שר האוצר, שר החינוך, וות""ת",
45,"דו""ח ועדת טרכטנברג",שוק העבודה - מיעוטים,,התמודדות עם חסמים לתעסוקה,הקצאת שוברי הכשרה מקצועית לבני מיעוטים,"ניצול מלא של השוברים,
תשלום החלק השלישי
בשובר בעבור כשני שליש
מהמוכשרים",\הקצאת שוברי הכשרה מקצועית ייעודיים לבני מיעוטים על ידי מרכזי ההכוון,"כחלק מהתמודדות עם החסמים לתעסוקה בשוק העבודה - מיעוטים, שעלותו הכוללת היא 785 מלש""ח על פני החומש הקרוב (2012 - 120; 2013 - 150; 2014 - 185; 2015 - 165; 2016 - 165)",785,5,"שר האוצר, שר התמ""ת",
46,"דו""ח ועדת טרכטנברג",שוק העבודה - מיעוטים,,התמודדות עם חסמים לתעסוקה,יישום 4 תכניות החומש למגזר המיעוטים ,לא נקבע מדד תוצאה,"יישום 4 תכניות החומש למגזר המיעוטים (בעלות כוללת של כ-3 מיליארד ש""ח)","כחלק מהתמודדות עם החסמים לתעסוקה בשוק העבודה - מיעוטים, שעלותו הכוללת היא 785 מלש""ח על פני החומש הקרוב (2012 - 120; 2013 - 150; 2014 - 185; 2015 - 165; 2016 - 165)",785,5,"משרד ראש הממשלה - הרשות לפיתוח המגזר היהודי, שר האוצר, משרדי ממשלה נוספים",
47,"דו""ח ועדת טרכטנברג",שוק העבודה- מענקי מס הכנסה שלילי,,מענק מס הכנסה שלילי,מענק מס הכנסה שלילי,צמצום תחולת העוני,"הגדלת מענק מס ההכנסה השלילי ב 50%- לאימהות עובדות תוך הגדלה של מתווה שחיקת המענק
באופן שהמס השולי האפקטיבי לא יעלה על 50","800 מלש""ח על פני החומש (200 בשנה החל מ- 2013)",800,5,שר האוצר,
48,"דו""ח ועדת טרכטנברג",טיפול בשוק העבודה והרחבת מעגל המועסקים במשק,,סיוע בהשתלבות אנשים בעלי מוגבלויות בשוק העבודה,הקמת מרכזי הכוון וליווי לבעלי מוגבלויות,לא נקבע מדד תוצאה,"הקמת מרכזי הכוון וליווי תעסוקתי אשר יתכללו את הפעילות הממשלתית
הקיימת. מטרת מרכזים אלו לשלב זכאים לקצבת נכות בשוק העבודה בשלבי הטיפול הראשוניים,","330 מלש""ח (50 חד פעמי ב-2013 ו-70 מלש""ח בכל אחת מהשנים 2013-2016)",330,3,"שר התמ""ת, שר הרווחה, שר האוצר",
52,"דו""ח ועדת טרכטנברג",שוק העבודה - אכיפת חוקי עבודה,,אכיפת חוקי עבודה,אישור הצעת החוק הממשלתית להגברת האכיפה של חוקי עבודה,הגדלה פי 3 של מספר המעסיקים הנבדקים מדי שנה,"אישור החוק להגברת
האכיפה בכנסת ומיקוד
פעילות האכיפה
המנהלית כנגד הפרת
""חוקים משפיעי שכר""",אין עלות כספית,0,0,"שר התמ""ת, שר המשפטים, שר האוצר",
53,"דו""ח ועדת טרכטנברג",שוק העבודה - אכיפת חוקי עבודה,,אכיפת חוקי עבודה,החלת שיתוף מידע של מערך אכיפת העבודה ,לא הוגדר מדד תוצאה,"שתוף פעולה בין במשרד התעשייה, המסחר והתעסוקה עם רשות המסים ועם המוסד לביטוח לאומי, בכפוף לבחינת התכנות משפטית",אין עלות כספית,0,0,"שר האוצר, שר התמ""ת, שר המשפטים",
54,"דו""ח ועדת טרכטנברג",שוק העבודה - אכיפת חוקי עבודה,,אכיפת חוקי עבודה,תגבור כוח האדם לאכיפת חוקי עבודה ,בהתאם למתווה שיקבע,"בהתאם למתווה שיקבע על ידי שר התמ""ת ושר האוצר. תפוקות מפורטת לתחומי האכיפה שיתוגברו ולכמות העיצומים הכספיים וההתראות שיינתנו.",אין עלות כספית,0,0,שר האוצר,"שר התמ""ת"
55,"דו""ח ועדת טרכטנברג",שוק העבודה - עובדים זרים והשפעתם על המשק הישראלי,,ענפי הבניין והחקלאות,צמצום עובדים זרים בבניין וחקלאות,"הפחתת מכסות העובדים הזרים ל-18,900 בענף החקלאות עד לשנת 2015 ול-0 בענף הבניין עד לשנת 2016",לדבוק בהחלטות הממשלה בנושא שעיקרן צמצום מספר העובדים הזרים והעלאת האטרקטיביות של העובד הישראלי,"למימוש המלצות אלה, המליצה הוועדה על הקצאת סכום כולל של 2.7 מליארד ₪ במהלך החומש
הקרוב.",2700,5,"שר האוצר, שר השיכון, שר הפנים, שר התמ""ת",
56,"דו""ח ועדת טרכטנברג",שוק העבודה - עובדים זרים והשפעתם על המשק הישראלי,,,הסדרים בילטראליים,הבאת עובדים זרים אך ורק במסגרת הסדרים בילטראליים ללא גביית דמי תיווך שלא כחוק,מניעת תופעת הגבייה של דמי תיווך שלא כחוק על ידי הסדרים בילטראליים לגיוס העובדים ללא שיתוף גורמים פרטיים בהליך (הסדר מדינה מול מדינה),,0,0,"שר הפנים, שר המשפטים, שר האוצר, שר התמ""ת",
57,"דו""ח ועדת טרכטנברג", טיפול בשוק העבודה והרחבת מעגל המועסקים במשק,,שוק העבודה - עובדים זרים והשפעתם על המשק הישראלי,עידוד יציאה כחוק של עובדים זרים,צמצום מספר העובדים הנשארים בישראל שלא כחוק בתום תקופת שהייתם החוקית בישראל,החלת פיקדון יציאה מרצון בכלל הענפים בהם מועסקים עובדים זרים,"אין סעיף תפלמימוש המלצות אלה, המליצה הוועדה על הקצאת סכום כולל של 2.7 מליארד ₪ במהלך החומש
הקרוב.קידי",2700,5,"שר הפנים, שר המשפטים, שר האוצר",
58,"דו""ח ועדת טרכטנברג", טיפול בשוק העבודה והרחבת מעגל המועסקים במשק,,שוק העבודה - עובדים זרים והשפעתם על המשק הישראלי,מסתננים מגבול מצרים,צמצום מספר המסתננים הנכנסים וכן השלמת בניית הגדר בגבול מצרים.,המשך פעולות הממשלה,"למימוש המלצות אלה, המליצה הוועדה על הקצאת סכום כולל של 2.7 מליארד ₪ במהלך החומש
הקרוב.",2700,5,"ראש הממשלה, שר האוצר, שר הבטחון",
59,"דו""ח ועדת טרכטנברג",תחבורה,,תחבורה ציבורית,שיפור הניידות בפריפריה,שיפור השירות מהפריפריה למרכז והפחתת התלות ברכב הפרטי, פריסת קווים מהירים וישירים מהפריפריה למרכזי התעסוקה ולמרכזי המטרופולינים.,"מומלץ להקצות לסעיף זה 200 מיליון ש""ח מתוך תוכנית החומש. מיליארד ש""ח סך הכל. ",1000,5,"שר האוצר, שר התחבורה",
60,"דו""ח ועדת טרכטנברג",תחבורה,,תחבורה ציבורית,שיפור מערך המידע לציבור,שיפור מערך המידע לציבור,"פריסת שלטי מידע בשמן אמת
ברחבי הארץ, שיפור המידע
באוטובוס ושיפור אתר המידע
המרכזי","בתחום שיפור איכות השירות מומלץ להקצות תוספת, בהבשלה מלאה, של כ- 300 מליון ש""ח בשנה. סך הכל - 1.5 מיליארד שקל. ",1500,5,"שר האוצר, שר התחבורה",
61,"דו""ח ועדת טרכטנברג",תחבורה,,תחבורה ציבורית,כרטוס משולב עם הרכבת,שיפור השילוביות עם הרכבת,שיפור השילוביות בין הרכבת לתחבורה הציבורית באוטובוסים . שיפור מערך ההזנה לרכבת באוטובוסים והנהגת כרטיסים משולבים בין האוטובוסים לרכבת כך שהתעריף בקווים אלו יהיה נמוך באופן משמעותי מהתעריף הרגיל בקווי השירות.,"בתחום שיפור איכות השירות מומלץ להקצות תוספת, בהבשלה מלאה, של כ 300- מלש""ח בשנה",1500,5,"שר האוצר, שר התחבורה",רכבת ישראל
62,"דו""ח ועדת טרכטנברג",תחבורה,,תחבורה ציבורית,שירותי תחבורה ציבורית ממוקדים לקשישים,שיפור שירותי התחבורה הציבורית הניתנים לקשישים,"מוצע לשפר את רמת השירות למוסדות דיור מוגן,
בדגש על אלה שאינם נמצאים במרכזי ערים, וליעדים נוספים בהתחשב בצרכים הייחודיים של
אוכלוסייה זו.",בתחום שיפור הניידות מומלץ להקצות תוספת של 200 מיליוני ₪,1000,5,"שר האוצר, שר התחבורה",
63,"דו""ח ועדת טרכטנברג",תחבורה,,תחבורה ציבורית,הגדרת תנאי סף לשירותי תחבורה ציבורית בפריפריה,הבטחת רמת ניידות לתושבי הפריפריה,סף למינימום שירות ליישובים כפריים ופריפריאליים תוך שיפור השירות ליישובים אלו,בתחום שיפור הניידות מומלץ להקצות תוספת של 200 מיליוני ₪,1000,5,"שר האוצר, שר התחבורה",
64,"דו""ח ועדת טרכטנברג",תחבורה,,תחבורה ציבורית,הגברת השילוביות בין האוטובוס לרכבת,שיפור רמת השילוביות עם רכבת ישראל,שיפור מערך ההזנה לרכבת באוטובוסים,"בתחום שיפור איכות השירות מומלץ להקצות תוספת, בהבשלה מלאה, של כ 300- מלש""ח בשנה",1500,5,"שר האוצר, שר התחבורה",
65,"דו""ח ועדת טרכטנברג",תחבורה,,תחבורה ציבורית,אכיפה בנתיבי תחבורה ציבורית,אכיפה יעילה בנתיב התחבורה הציבורית,מוצע לבצע שיפורים על מנת להגביר את מהירות הנסיעה ובכלל זאת הגברת האכיפה בנתיבי תחבורה ציבורית ,"בתחום שיפור איכות השירות מומלץ להקצות תוספת, בהבשלה מלאה, של כ 300 מלש""ח בשנה",1500,5,"שר האוצר, שר התחבורה",
66,"דו""ח ועדת טרכטנברג",תחבורה,,תחבורה ציבורית,הגברת השירות למכללות,שיפור רמת השירות הניתן למכללות,"מוצע לשפר את רמת השירות הניתנת למכללות, על ידי תוספת נסיעות ושיפור
התדירות.","בתחום שיפור איכות השירות מומלץ להקצות תוספת, בהבשלה מלאה, של כ 300 מלש""ח בשנה",1500,5,"שר האוצר, שר התחבורה",
67,"דו""ח ועדת טרכטנברג",תחבורה,,תחבורה ציבורית,הגדלת היצע השירות במטרופולינים,הגברת התדירות בקווים אלו בכ- 30%,הגדלת היצע השירות במטרופולינים והגברת התדירות,"בתחום שיפור איכות השירות מומלץ להקצות תוספת, בהבשלה מלאה, של כ 300 מלש""ח בשנה",1500,5,"שר האוצר, שר התחבורה",
68,"דו""ח ועדת טרכטנברג",תחבורה,,תחבורה ציבורית,כרטוס מחוץ לאוטובוס,צמצום זמני ההמתנה בתחנות וצמצום עיסוק הנהג במכירת כרטיסים,הצבת מכונות כרטוס מחוץ לאוטובוסים,"בתחום שיפור איכות השירות מומלץ להקצות תוספת, בהבשלה מלאה, של כ 300 מלש""ח בשנה",1500,5,"שר האוצר, שר התחבורה",
69,"דו""ח ועדת טרכטנברג",תחבורה,,תחבורה ציבורית,הרחבת ההנחות לזכאים,לא נקבע מדד תוצאה,"מוצע לצמצם את עלות הנסיעה בתחבורה הציבורית
לאוכלוסיות הזכאים בהתאם לקריטריונים של ביטוח לאומי, כך שהיקף ההנחה תעלה לרמה
המקסימאלית הקיימת בתחבורה הציבורית, קרי 50% (בדומה לנהוג עבור אזרח ותיק).",בתחום שיפור הניידות מומלץ להקצות תוספת של 200 מיליוני ₪ בשנה,1000,5,"שר האוצר, שר התחבורה",
70,"דו""ח ועדת טרכטנברג",תחבורה,,תחבורה ציבורית,הנחות לסטודנטים,לא נקבע מדד תוצאה,"המתן הנחה של עד כ- 50%
לסטודנטים העושים שימוש קבוע בתחבורה הציבורית.",בתחום שיפור הניידות מומלץ להקצות תוספת של 200 מיליוני ₪ בשנה.,1000,5,"שר האוצר, שר התחבורה",
76,"דו""ח ועדת טרכטנברג",מערכת המס,,,מיסים,"הקטנת אי השיוויון במשק, פוטנציאל הכנסות של כ 2,500 מלש""ח בשנת 2012",ביטול מתווה המס הישיר הפוחת,,0,0,,
77,"דו""ח ועדת טרכטנברג",מערכת המס,,,מיסים,"הקטנת אי השיוויון במשק, פוטנציאל הכנסות של 700 מלש""ח בשנת 2012","העלאת מדרגת המס העליונה, המתחילה בכנסה של 40,231 שח לחודש (במחירי שנת מס 2011) בשלוש נקודות אחוז עד לשיעור של 48 אחוזים",,0,0,,
78,"דו""ח ועדת טרכטנברג",מערכת המס,,,מיסים,"הקטנת אי השיוויון במשק, פוטנציאל הכנסות של 1,400 מלש""ח בשנת 2012",העלאת מס החברות הססטוסטורי העומד כיום על 24% ל- 25% בשנת 2012 ובחינה להעלאה נוספת ל-26% בשנת 2013 בהתאם לצרכים הפיסקאליים,,0,0,,
79,"דו""ח ועדת טרכטנברג",מערכת המס,,,מיסים,"הקטנת אי השיוויון במשק, פוטנציאל הכנסות של 1,300 מלש""ח בשנת 2012","העלאת המס על ריבית, דיבידנדים, רווחי הון ומס שבח למי שאינו בעל עניין ב-5 נקודות אחוז מ-%20 ל-%25. שיעור המס על בעל עניין מהותי יועלה מ-%25 ל-%30",,0,0,,
80,"דו""ח ועדת טרכטנברג",מערכת המס,,,מיסים,"הקטנת התמריץ לתכנון מס והקמת ""חברות ארנק"", פוטנציאל לאובדן הכנסות בסך 800 מלש""ח בשנת 2012, והגדלת הכנסות בהמשך","ביטול ה""גיבנת"" הקיימת כתוצאה מהעלאת תקרת הביטוח הלאומי",,0,0,,
81,"דו""ח ועדת טרכטנברג",מערכת המס,,,מיסים,"הקטנת אי השיוויון במשק, פוטנציאל הכנסות של 400 מלש""ח בשנת 2012","החלת מס על הכנסות גבוהות מהון ועבודה, 2% מס נוסף על סך ההכנסות מעל מיליון שח לשנה",,0,0,,
82,"דו""ח ועדת טרכטנברג",מערכת המס,,,מיסים,"חיזוק עצמאות המוסד לביטוח לאומי, הקטנת תלות הקצבאות בתקציב המדינה, פוטנציאל הכנסות של 1,300 מלש""ח בשנה, במיצוי מלא על פני שלוש שנים",העלאת הפרשות מעסיק לביטוח לאומי על חלק השכר הגבוה מ- 60% מהשכר הממוצע ב- 1.6 נקודות אחוז (מ-5.9 אחוזים ל7.5 אחוזים),,0,0,,
83,"דו""ח ועדת טרכטנברג",מערכת המס,,,מיסים,"הקלת יוקר המחייה, אובדן הכנסות של 2,500 מלש""ח בשנת 2012","ביטול העלאות הבלו על דלקים שנקבעו
לשנת 2012. בפרט: הפחתת הבלו על בנזין ב-40 אגורות לליטר, הבלו על הסולר ב-20 אגורות לליטר והמס על פחם ב-34 ש""ח לטו",,0,0,,
84,"דו""ח ועדת טרכטנברג",מערכת המס,,,מיסים,"הקלה בנטל הכלכלי על משפחות עובדות, אבדן הכנסות של 1,000 מלש""ח בשנת 2012","מתן שתי נקודות זיכוי לגבר, עבור כל ילד עד להגיעו של הילד לגיל 3",,0,0,,
85,"דו""ח ועדת טרכטנברג",מערכת המס,,,מיסים,"הקלת יוקר המחיה, הגברת התחרותיות, אובדן הכנסות של עד 1,500 מלש""ח בשנת 2012",הפחתה במיסי קנייה ומכסים בהתאם להמלצות וועדת קדמי וצוות התחרותיות של הועדה לשינוי כלכלי חברתי,,0,0,,
86,"דו""ח ועדת טרכטנברג",מערכת המס,,,מיסים,דוח המלצות לממשלה עד לתאריך 1.6.2012 שילוב ההמלצות בתקציב 2013,"הקמת צוות לבחינת דרכים להגברת האכיפה וטיפול ב""הון השחור""",,0,0,,
87,"דו""ח ועדת טרכטנברג",מערכת המס,,,מיסים,דוח המלצות לממשלה עד לתאריך 1.6.2012 שילוב ההמלצות בתקציב 2013,"הקמת צוות לבחינת נושא ""חברות הארנק"", חברות אחזקה פרטיות ואופציות לעובדים",,0,0,,
88,"דו""ח ועדת טרכטנברג",דיור,,הגדלת היצע הדיור בטווח הבינוני ארוך,עדכון תפיסת התכנון בתוכנית המתאר הארצית מספר 35,"תמ""א ארצית מעודכנת תומכת ציפוף, התחדשות עירונית, אורבניזציה ומטרופולינים","יש לבחון את היקף השטחים המיועדים לפיתוח בתוך המרקמים העירוניים, להגדילם ככל שיעלה הצורך, ולאפשר בשטחים אלה להכין ולאשר תוכניות מפורטות. עידוד תכניות מפורטות המעבות את המרקם הבנוי ונשענות על תחבורה ציבורית, דבר שיאפשר יצירת מתחמי מגורים אינטנסיביים בעלי מגוון יחידות דיור ונגישות גבוהה ומיידית לתעסוקה, חינוך, תרבות ופנאי. יש מקום לזהות, במסגרת תמ""א 35 , פתרונות אופציונאליים למגורים לאוכלוסייה הלא יהודית, באופן שיאפשר מתן פתרונות נוספים לדיור לאוכלוסייה זו.",לא מתוקצב,0,0,משרד השיכון,
89,"דו""ח ועדת טרכטנברג",דיור,,,הגדלת היצע דיור לטווח הארוך,"בתכנון - אישור 196,000 יח""ד בחומש הקרוב. שיווק – 200,000 יח""ד בחומש הקרוב, מתוכן 20% המתאימות לדיור בהישג יד.",קביעת יעדים כמותיים למלאי התכנוני ולשיווקי מינהל מקרקעי ישראל,,0,0,,
90,"דו""ח ועדת טרכטנברג",דיור,,הגדלת היצע דיור לטווח הארוך,קביעת יעדי מדיניות בתחום הפיתוח האורבני,יצירת יעדי מדיניות מוגדרים לפיתוח אורבני,"קידום מדיניות פיתוח כוללת של המרחב האורבני, האצת תהליכים לחיזוק המרכזים המטרופוליניים וערי הפריפריה וקידום העיור במגזר הלא יהודי, ומתן מענה תשתיתי מקיף בדגש על קידום מערכות חדשניות של תחבורה ציבורית ואמצעים משלימים להגברת הנגישות","לא מפורט בדו""ח",0,0,משרד ראש הממשלה,"משרדי האוצר, הפנים, השיכון, התחבורה, הסביבה, התשתיות והתעשייה ומסחר"
91,"דו""ח ועדת טרכטנברג",דיור,,הגדלת היצע הדיור בטווח הבינוני והארוך,צמצום הריכוזיות במקרקעין והקטנת התמריץ לאגירת קרקעות מתוכננות,"הגברת התחרותיות בשוק המקרקעין, הקטנת היקפי המקרקעין המוחזקים בידי חברות","בחוק רשות מקרקעי ישראל נקבע כי על שר השיכון להתקין תקנות בנושא הגברת התחרות ומניעת
הריכוזיות בהחזקת המקרקעין.
הוועדה ממליצה להאיץ את עבודת הוועדה שהוקמה לצורך גיבוש תקנות בנושא.
במסגרת זו מוצע, בין השאר, להגביל את הזוכה במכרז לשיעור מסוים מתוך מספר יחידות הדיור
המוצעות במכרז כאשר השיעור המקסימלי ייקבע על פי קריטריונים הקשורים בקיומם של אילוצים תכנוניים ובסך היקף יחידות הדיור במכרז.","לא מפורט בדו""ח",0,0,משרד השיכון,
92,"דו""ח ועדת טרכטנברג",דיור,,,הגדלת היצע הדיור בטווח הבינוני והארוך,הגדלת היצע זמין לבנייה באלפי יחידות דיור,חיזוק ועדת החסמים,,0,0,,
93,"דו""ח ועדת טרכטנברג",דיור,,,הגדלת היצע הדיור בטווח הבינוני והארוך,שחרור אלפי יחידות דיור לבנייה,מתן קדם מימון לביצוע תשתיות המהוות חסם לקידום תוכניות למגורים,,0,0,,
94,"דו""ח ועדת טרכטנברג",דיור,,,הגדלת היצע הדיור בטווח הבינוני והארוך,הגדלת היצע קרקעות מתוכננות,ליווי ממשלתי צמוד של מתחמים נבחרים,,0,0,,
95,"דו""ח ועדת טרכטנברג",דיור,,,הגדלת היצע הדיור בטווח הבינוני והארוך,התקדמות לשלב פינוי דיירים ב-5 מתחמים לפחות,טיפול בעלויות הפיתוח בהתחדשות עירונית,,0,0,,
96,"דו""ח ועדת טרכטנברג",דיור,,,הגדלת היצע הדיור בטווח הבינוני והארוך,אישור סטאטורי לתכניות פינוי ובינוי ברמה המקומית מכוח התכנית המתארית,תקצוב תכניות מתאר לפינוי בינוי,,0,0,,
97,"דו""ח ועדת טרכטנברג",דיור,,,הגדלת היצע הדיור בטווח הבינוני והארוך,צמצום המקרים המגיעים להכרעת בית המשפט בעילת התנגדות לפרויקט פינוי ובינוי,השלמת מנגנון שמאי מכריע לפינוי ובינוי,,0,0,,
98,"דו""ח ועדת טרכטנברג",דיור,,,הגדלת היצע הדיור בטווח הבינוני והארוך,ייעול הליכי פיתוח ברשויות,השלמת חקיקת חוק היטלי פיתוח,,0,0,,
99,"דו""ח ועדת טרכטנברג",דיור,,,הגדלת היצע הדיור בטווח הבינוני והארוך,הבטחת הגדלת מלאי הקרקעות בשוק,עידוד השיווק באמצעות הורדת מחיר המינימום במכרזי מנהל מקרקעי ישראל ל-35%,,0,0,,
100,"דו""ח ועדת טרכטנברג",דיור,,,הגדלת היצע הדיור בטווח הבינוני והארוך,שמירה על שיעור הקליטה הקיים של שיווקים של המינהל,עידוד השיווק באמצעות דחיית תשלומי היזם עבור הקרקע ל-180 יום,,0,0,,
101,"דו""ח ועדת טרכטנברג",דיור,,,הגדלת היצע הדיור בטווח הקצר,הגדלת היצע הדירות בטווח הקצר-בינוני בעיקר באזורי ביקוש בהיקף של אלפי יחידות דיור,עידוד הבנייה על קרקע מתוכננת ומשווקת,,0,0,,
102,"דו""ח ועדת טרכטנברג",דיור,,,הגדלת היצע הדיור בטווח הקצר,קיטון משמעותי במספר הדירות הריקות,עידוד האכלוס של דירות ריקות,,0,0,,
103,"דו""ח ועדת טרכטנברג",דיור,,,הגדלת היצע הדיור בטווח הקצר,קיטון משמעותי במספר הדירות שאינן ראויות לשימוש ושיפור המרקם העירוני,עידוד שיקום דירות שאינן ראויות לשימוש,,0,0,,
104,"דו""ח ועדת טרכטנברג",דיור,,,הגדלת היצע הדיור בטווח הקצר,תוספת אלפי יחידות דיור קטנות תוך שמירה על עקרונות תכנוניים,הקלה בפיצול דירות,,0,0,,
105,"דו""ח ועדת טרכטנברג",דיור,,,דיור בר השגה,הוספת יעוד קרקע בחוק התכנון והבנייה – קרקע בייעוד השכרה.,יצירת שוק שכירות מגוון בדגש על שכירות ארוכת טווח,,0,0,,
106,"דו""ח ועדת טרכטנברג",דיור,,,דיור בר השגה,שיווק מירב יחידות הדיור לשכירות במכרזים המותאמים לגופים קונצרנים,עידוד גופים מוסדיים להקמת בניני השכרה לטווח ארוך,,0,0,,
107,"דו""ח ועדת טרכטנברג",דיור,,,דיור בר השגה,תכנון ממוצע של 20% דירות קטנות בתוכנית,הגדלת היצע הדירות הקטנות,,0,0,,
108,"דו""ח ועדת טרכטנברג",דיור,,,פרויקטים מיוחדים על קרקע מדינה,"הקמת 5,000 יחידות דיור בשיטה זו",הגדלת היצע הדירות המשווקות במכרזי מחיר למשתכן,,0,0,,
108,"דו""ח ועדת טרכטנברג",דיור,,,פרויקטים מיוחדים על קרקע מדינה,"הקמת 5,000 יחידות דיור בשיטה זו",שיווק דירות להשכרה במחיר מוזל ומפוקח,,0,0,,
109,"דו""ח ועדת טרכטנברג",דיור,,,טיפול באוכלוסיות מיוחדות,הגדלת היצע הבנייה הרוויה ביישובי מיעוטים,הרחבה הדרגתית של מרכיבי הדיור בתכנית החומש לפיתוח כלכלי בכלל יישובי מגזרי המיעוטים,"עלות כוללת של 250 מיליון ש""ח בפריסה של 5 שנים",250,0,,
110,"דו""ח ועדת טרכטנברג",דיור,,,טיפול באוכלוסיות מיוחדות,החלטת הממשלה על הקמת יישוב חדש לאור תוצאות הבחינה הכלכלית והתכנונית,הקמת יישובים חדשים לאוכלוסיית המיעוטים,,0,0,,
111,"דו""ח ועדת טרכטנברג",דיור,,,טיפול באוכלוסיות מיוחדות,הרחבת שטחי השיפוט של רשויות מקומיות ממגזרי המיעוטים באופן שיאפשר פיתוח נוסף,הרחבת שטחי שיפוט,,0,0,,
112,"דו""ח ועדת טרכטנברג",דיור,,,טיפול באוכלוסיות מיוחדות,הרחבת היצע המגורים לאוכלוסיית הסטודנטים,הגדלת היצע המעונות לסטודנטים,"עלות כוללת של 100 מיליון ש""ח",100,0,,
113,"דו""ח ועדת טרכטנברג",דיור,,,טיפול באוכלוסיות מיוחדות,קיצור תור הקשישים הזכאים הממתינים לפתרונות דיור,הרחבת היצע הדיור המוגן לקשישים מקבלי הבטחת הכנסה,"עלות כוללת של 110 מיליון ש""ח בפריסה של שנתיים",110,0,,
114,"דו""ח ועדת טרכטנברג",דיור,,,טיפול באוכלוסיות מיוחדות,הקלה בנטל הדיור של זכאי משרד השיכון,"הגדלת היקף הסיוע בשכ""ד לזכאים","עלות כוללת של 800 מיליון ש""ח בפריסה של 5 שנים",800,0,,
