slug,base.book,base.chapter,base.chapter_part,base.subchapter,base.subject,base.result_metric,base.recommendation,base.budget.description,base.budget.millions,base.budget.year_span,base.responsible_authority.main,base.responsible_authority.secondary
115,"דו""ח ועדת טרכטנברג",דיור,,,טיפול באוכלוסיות מיוחדות,קיצור תור הממתינים לדיור ציבורי,שמירה על מלאי הדיור הציבורי הקיים.,,0,0,,
116,"דו""ח ועדת טרכטנברג",יוקר המחייה,,רגולציה,"הגדרה ברורה של מטרת הרגולציה כך שתכלול, בין היתר, אחריות ברורה לרווחת הצרכנים ולתחרות בתחום הרלוונטי",מיקוד הרגולציה ביוקר המחיה,"על מנת למקד את עבודת הממשלה ופעילותם של הרגולטורים השונים, המלצת הועדה
הינה לעגן הגדרה ברורה של מטרת הרגולציה כך שתכלול, בין היתר, אחריות ברורה
לרווחת הצרכנים ולתחרות בתחום הרלוונטי באמצעות תיקון חקיקה ראשי, אשר יחול על
מעורבות המדינה בשווקים בישראל ככלל, ועל מהלכי רגולציה כלכלית בפרט. יתרה מכך,
הועדה ממליצה שכצעד משלים לשינויים המפורטים בדו""ח זה, הממשלה תטיל על משרדי
המשפטים והאוצר לבצע סריקה רחבה בגופי הרגולציה הקיימים במטרה לאפיין מבנים לא
מיטביים ולקדם שינויים בהם, מובן כי בדיקה נקודתית נדרש כי תיעשה במשותף עם המשרד
הרלוונטי.",תוספת תקציבית שלא הוגדרה,0,0,"מנכ""ל משרד האוצר, משרד המשפטים",
117,"דו""ח ועדת טרכטנברג",יוקר המחייה,,רגולציה,תגבור איכות וסמכויות רגולטורים,שיפור איכות הרגולציה,"תגבור איכותם, מומחיותם ויכולותיהם של הרגולטורים בישראל באמצעות מספר
כלים:
א. הרחבת המשאבים העומדים לרשותם של הרגולטורים, בדגש על משאבים
לאכיפה;
ב. ביצוע הכשרות מתאימות באופן סדיר וקבוע;
ג. בחינה של תנאי סף לכשירותם של רגולטורים, על מנת לפעול בהדרגה לבחירתו
עיקרי ההמלצות - יוקר המחיה והתחרותיות 165
של כח האדם המתאים והמקצועי ביותר לשירות המדינה;
ד. בחינת רמת התקינה של משרותיהם של הרגולטורים המרכזיים על ידי נציבות
שירות המדינה, כך שרמת התקינה תשקף את רמת המומחיות הנדרשת
מהרגולטורים;
ה. קציבת כהונתם, גם של רגולטורים שאינם ממונים ישירות ע""י הממשלה לתקופה
של 6 שנים, באופן שיאפשר שינויי תפיסה וריענון השורות בכל תפקיד ויצירת
אופק שירות. ראוי לבחון אופן החלת האמור בצורה מושכלת גם ביחס למי
שמכהנים היום בתפקיד;
ו. חיזוק עצמאותן של סוכנויות רגולציה, באופן שיביא לקבלת החלטות על בסיס
מקצועי על ידי גורמים בעלי ידע ומומחיות נדרשים, תוך איזון שמאפשר לממשלה
ולשר האחראי להתערב, בשקיפות ציבורית, בהחלטות רוחביות שהן בעיקרן
בעלות אופי מדיניותי ושאינן נוגעות למפוקח ספציפי או מקרה ספציפי;",תוספת תקציבית שלא הוגדרה,0,0,"מנכ""ל משרד האוצר, משרד המשפטים",
118,"דו""ח ועדת טרכטנברג",יוקר המחייה,,רגולציה,חיזוק מעמדו של הצרכן,הצרכן הישראלי יהיה שותף פעיל יותר בקבלת החלטות,"חיזוק מעמדו של הצרכן כגורם מעורב ומשפיע בקבלת החלטות באמצעות יצירת
פלטפורמה מתאימה במסגרת הרשות לסחר הוגן וחיזוק מעמדה כגורם אחראי
להגנה על הצרכן וסחר הוגן בישראל. על הפלטפורמה לאפשר לצרכנים לפגוש את
הרגולטורים השונים ולסייע בידם לעשות את מלאכתם, למשל על ידי מתן אפשרות
פשוטה לצרכנים להעביר אינפורמציה, דעות, עובדות, ותגובות ישירות לגופי הפיקוח
והרגולציה השונים. בנוסף, יש לפעול לכך שפעולות המדינה יוצגו לציבור באופן
שקוף שמעודד בקרה ודיון ציבורי. במקביל, הועדה ממליצה להגדיל את המשאבים
המופנים למועצה הישראלית לצרכנות, כך שתוכל להרחיב את פעילותה הן בהיבטי
הסברה והן בהיבטי הטיפול בתלונות צרכנים;","תוספת תקציבית שלא הוגדרה בדו""ח",0,0,"מנכ""ל משרד האוצר, משרד המשפטים",
119,"דו""ח ועדת טרכטנברג",יוקר המחייה,,רגולציה,בחינת ייעול הרגולציה הממשלתית,מניעת כפילויות במנגנוני הרגולציה בממשלה,ללא פירוט,לא הוגדר תקציב,0,0,"מנכ""ל משרד האוצר",משרד המשפטים
120,"דו""ח ועדת טרכטנברג",יוקר המחייה,,רגולציה,הקמת חטיבת תחרותיות ברשות ההגבלים העסקיים,מידע מכוון למשרדי הממשלה בתחום התחרותיות בשווקים,"הועדה ממליצה לתקן את חוק ההגבלים העסקיים כך שתוקם
חטיבת תחרותיות ברשות ההגבלים העסקיים שתפקידה יהא לעקוב באופן שוטף
אחר מגמות בתחרות בשווקים נבחרים במשק ולנתחן. חטיבת התחרותיות תפעל
באופן פרואקטיבי על מנת לבחון ולאבחן קשיים וכשלים בתחרות בשווקים מרכזיים
במשק, זאת כאמצעי מקביך ומשלים לכלים הקיימים כבר כיום בחוק. מקרים בהם
נתגלו כשלי תחרות יופנו באופן שוטף, למשרד הרלוונטי ולמשרד האוצר על מנת
שאלו ינקטו צעדים לתיקון המצב. משרד האוצר יפעל להקצאת תוספת המשאבים
והתקנים הנדרשים, בהתאם למבנה שתגבש רשות ההגבלים העסקיים בהקדם האפשרי. בנוסף תובטח יכולה של חטיבת התחרותיות לקבל נתונים הנדרשים
לביצוע תפקידה מרשויות מדינה שונות בצורה שוטפת וקבועה, לרבות באמצעות
שימוש במידע הקיים ברשויות המס והמכס, במגבלות השימוש המתאימות.",לא נקבע תקציב,0,0,משרד האוצר ,
121,"דו""ח ועדת טרכטנברג",יוקר המחייה,,רגולציה,הרחבת סמכויות הרשות להגבלים עסקיים,שיפור הפיקוח בדיעבד על מונופולים,"הועדה ממליצה לממשלה לגבש תיקון חקיקה בדבר הגבלות נוספות על פעילותם של לוביסטים, מסחריים ואחרים, בכנסת, ולפעול להגבלת פעילותם גם בממשלה. ",לא הוגדר תקציב,0,0,"מנכ""ל משרד האוצר",
122,"דו""ח ועדת טרכטנברג",יוקר המחייה,,רגולציה,מנגנון הפיקוח על המחירים והשירותים,שיפור אופן הפיקוח על מוצרים ושירותים שונים במשק,"לקבוע ולהצהיר כי פיקוח על מחירים אינו אלא פתרון זמני, חלקי ולא יעיל להפגת
פגיעתם של כשלים תחרותיים ולפיכך יש לפעול על מנת לצמצם את השימוש בו ככל הניתן ולהפעילו רק כשאין אפשרות לפעול להגברת התחרות בטווח קצר;
ב. להקצות משאבים ייעודיים לתמיכה מקצועית ככל שזו נדרשת לעבודת הפיקוח הן על ידי הכשרות והשתלמויות והן על ידי תקצוב של ספקים חיצוניים;
ג. לחדד את ההנחיות למפקחים על המוצרים בכלל משרדי הממשלה באשר לחובתם לבחון באופן תדיר וקבוע את השוק עליו הם אמונים, ובכלל זה את רמות המחיר של המוצרים שהיו בפיקוח או שהינם ברי פיקוח על פי הוראות החוק;
ד. להנחות את הלשכה המרכזית לסטטיסטיקה לפרסם באופן סדיר נתונים על השינויים במחירים במקטעים שונים של שרשרת הייצור/יבוא והשיווק במוצרים נבחרים במשק, בפרט בענפים ריכוזיים, ולהקצות לשם כך את המשאבים הנדרשים. הגדרת המוצרים תעשה בהתייעצות עם רשות ההגבלים העסקיים ובהמלצתה של המועצה הציבורית לסטטיסטיקה;
ה. לעדכן, באמצעות צוות מומחים ייעודי, את דו""ח סוארי המשמש לפיקוח על
רווחיות כוללת של חברות הנתונות לפיקוח מחירים. הדו""ח לא עודכן משנת
1996 וקיים לכאורה חשש ששיעורי התשואה הנקובים בו עולים במידה ניכרת על הראוי כיום. שיטת הפיקוח האמורה נקבעה בתקופה בה סביבת הריבית הייתה
גבוהה יחסית. היום, בסביבת הריבית הנוכחית נראות תקרות שיעורי רווח על הון פעיל של 12%-16.8% , עבור חברות הפועלות בתנאי שוק לא תחרותיים או
מונופוליסטים, גבוהות למדי. בנוסף, מוצע לעדכן בהקדם את שיטת הפיקוח התאמת דוחות). קיים חשש ,IFRS) כולה לאור שינוי כללי התקינה החשבונאית שאימוץ תקן חשבונאי כזה או אחר עשוי להביא לעלייה בהון הפעיל של חברות מפוקחות בספרים, אשר עשוי לגרור הכרה ברווח גבוה יותר לחברות מפוקחות. יתרה מזו, לכאורה, מנגנון הפיקוח הקיים מאפשר לחברות המפוקחות להגדיל את השקעותיהן בהון, כפי שעשתה חברת נשר בהקמת תחנה עצמית לייצור חשמל, אשר מפחיתה מחד את עלויות הייצור השוטפות ומקנה, מאידך, תשואה גבוהה ומובטחת על ההון המושקע – המשולמת באמצעות מחירי המלט המפוקחים;",לא הוגדרה עלות כספית,0,0,"מנכ""ל משרד האוצר",
123,"דו""ח ועדת טרכטנברג",יוקר המחייה,,רגולציה,פרסום דוחות של מונופולים מוכרזים,שקיפות בפעילותן של חברות מונופוליסטיות,"לחייב מונופולים מוכרזים שעיקר פעילותם בישראל, בפרסום דוחות כספיים
במתכונת הנוהגת על ידי חברות ציבוריות, הן בחתכי מוצרים והן בכלל, בהתאם
לכללים שייקבעו ובשים לב לפגיעה אפשרית בפעילותם בשווקים בחו""ל;",לא הוגדרה עלות כספית,0,0,"מנכ""ל משרד האוצר", משרד המשפטים
124,"דו""ח ועדת טרכטנברג",יוקר המחייה,,רגולציה,מנגנון תלת שלבי לבחינת הכנסת מוצרים לפיקוח,חיזוק מנגנוני הפיקוח על המחירים,"להמליץ לועדות המחירים לאמץ מנגנון תלת שלבי במסגרתו מוצרים שמחירם
או השינוי בו יצדיקו בחינה קפדנית, יוכנסו לדיווח לפי פרק ו' לחוק הפיקוח על
מחירי מצרכים ושירותים, לאחר מכן, אם יעלה צורך, תחויב החברה בפירסום
דוחות כספיים לציבור במתכונת האמורה בס' (ו') לעיל, ולבסוף יוטל פיקוח ישיר על המחיר, תוך חשיפת המהלך לציבור;",,0,0,"מנכ""ל משרד האוצר ",משרד המשפטים
126,"דו""ח ועדת טרכטנברג",יוקר המחייה,,תקינה,אימוץ מסלול האישור האירופאי,השלמת חשיפת המשק הישראלי לייבוא,"מוצע לאמץ את המדיניות האירופאית ולהרחיב את מתן האישורים על בסיס הצהרת היבואן, וזאת לצד התאמות בדין הישראלי שיאפשרו הגברת הפיקוח הפרטי והציבורי על אותן הצהרות יבואן. לבסוף, יש לפעול על מנת ליצור איזון טוב יותר בין נציגי הצרכנים, היבואנים והתעשייה המקומית בוועדות התקינה.",לא הוגדרה עלות כספית,0,0,"משרד התמ""ת",משרד האוצר
127,"דו""ח ועדת טרכטנברג",יוקר המחייה,,תקינה,רפורמה במכון התקנים,תכנית עבודה מפורטת ליישום הרפורמה במכון התקנים,גיבוש רפורמה מקיפה במוסדות המכון לרבות בחינת עדכון הליכי התקינה והרכבי ועדות התקינה,לא הוגדרה עלות כספית,0,0,"מנכ""ל משרד התמ""ת",
128,"דו""ח ועדת טרכטנברג",יוקר המחייה,,תקינה,תקינה במשרדי הממשלה,המלצות למדיניות כלל ממשלתית בתחום התקינה,הקמת ועדה להסרת חסמי ייבוא באמצעות השוואת תקינה בתחומים השונים ביחס לעולם,לא הוגדרה עלות כספית,0,0,"מנכ""ל משרד המשפטים",
129,"דו""ח ועדת טרכטנברג",יוקר המחייה,,היטלים,"הגבלת השימוש בהיטלי סחר בתעשיות ריכוזיות, יצואניות או מונופוליסטיות",השלמת חשיפת המשק הישראלי לייבוא,"מוצע צמצום משמעותי של השימוש בהיטלי סחר להגנה על תעשיה מקומית מונופוליסטית או ריכוזית. זאת מעבר לפרמטרים הקבועים היום בחוק, שיהוו תנאי סף
לפתיחת חקירה, ופרמטרים לבחינה בחקירה עצמה. בפרט, מוצע לתקן את חוק היטלי סחר
באופן שיאפשר הטלת היטל היצף בלבד, וכן שבהתקיים אחד או יותר משלושת התנאים
הבאים לא יוטל היטל: ישנם פחות משלושה יצרנים מקומיים של המוצר הרלוונטי; בשוק
מתקיימת תחרות מועטה; החברה המתלוננת מייצאת לחו""ל שיעור לא זניח מתוצרתה. כמו כן, מוצע לאסור קביעת היטל היצף מעבר לתקופה מצטברת (כ 5- שנים), שתיקבע בחקיקה.",לא הוגדרה עלות כספית,0,0,לא נקבע גורם ראשי,
130,"דו""ח ועדת טרכטנברג",יוקר המחייה,,תחרות בשווקים,ענף המזון,הפחתת המחירים בסל מוצרי המזון הבסיסיים תחת פיקוח,"בטווח קצר הועדה ממליצה לבחון הפחתה במחירם של מוצרי מזון תחת פיקוח כגון ביצים וחלב, באמצעות הפחתה במרווח השיווק במוצרים אלו, על מנת להביא לשינוי בטווח הזמן המיידי במחירי מוצרי המזון.",לא הוגדרה עלות כספית,0,0,"משרד התמ""ת",
131,"דו""ח ועדת טרכטנברג",יוקר המחייה,,תחרות בשווקים,ענף נמלי הים,נמלים בבעלות פרטית ובתחרות אפקטיבית,"מומלץ לקבוע בצורה ברורה יעד לקיומה של תחרות תוך-נמלית
ואפקטיבית, במרחבי הנמלים בישראל. במקביל, ועל מנת לקדם את התהליך התכנוני, מוצע להטיל על מנכ""ל משרד רוה""מ לפעול להסרת חסמים בהליכי התכנון הסטטוטורי של מסופי
הנמל העתידיים תוך איזון הדרישות הסביבתיות וקביעה כי עד סוף 2012 יושלמו הליכי
התכנון.",לא הוגדרה עלות כספית,0,0,"מנכ""ל משרד ראש הממשלה",
132,"דו""ח ועדת טרכטנברג",יוקר המחייה,,תחרות בשווקים,ענף המים,"הורדת מחיר המים שמשמעו חיסכון של כ-45 מיליון ש""ח בשנה","הועדה ממליצה למועצת רשות המים להביא להפחתה
נקודתית בתעריף המים למשקי הבית באמצעות ביצוע שינוי מתווה התכנסות נורמות גבייה
ופחת לצורך הקטנה נוספת של רווחי התאגידים החזקים וצמצום ההפסדים של החלשים
בשנת 2012 .",לא הוגדרה עלות כספית,0,0,מועצת רשות המים,
133,"דו""ח ועדת טרכטנברג",יוקר המחייה,,תחרות בשווקים,ענף המזון,המלצות לקידום תחרות,"לאור מורכבות
הנושא ומידת המעורבות הממשלתית הרבה שבו, וכן לאור מסגרת הזמן המוגבלת שהועמדה
לעבודת הועדה, מומלץ להעביר את ממצאי הניתוח המפורט שנערך כאן אל הועדה לבחינת
שוק המזון ומוצרי הצריכה בראשותו של המנהל הכללי של משרד התמ""ת, מר שרון קדמי,
בהמלצה לפעול לחשיפת הענף ליבוא מתחרה תוך הפחתת הריכוזיות הקיימת במקטע
הייצור/יבוא",,0,0,"ועדה בראשות מנכ""ל משרד התמ""ת",
134,"דו""ח ועדת טרכטנברג",יוקר המחייה,,תחרות בשווקים,ענף גז הבישול,"הורדת מחיר הגפ""מ שמשמעו חיסכון של כ-150 מיליון ש""ח בשנה","בטווח הקצר מוצע 
6 הגב' מיכל עבאדי-בויאנג'ו לא נטלה חלק בדיון בנושא זה.
7 הגב' מיכל עבאדי-בויאנג'ו לא נטלה חלק בדיון בנושא זה.182
 דוח הו ועדה לשי נ ו י  כלכלי  חברתי להטיל פיקוח על מחיר הגפ""מ בשער בית הזיקוק ולצרכן, שיביא להפחתת מחירו.",לא הוגדרה עלות כספית,0,0,משרד התשתיות,משרד האוצר
135,"דו""ח ועדת טרכטנברג",יוקר המחייה,,תחרות בשווקים,ענף תחנות התדלוק,עידוד תחרות בשוק תחנות הדלק,"מומלץ לתת עדיפות בהליכי תכנון לעצמאיים. 
מומלץ להנחות את המינהל ומוסדות התכנון לתכנן קרקעות ל-40 תחנות תדלוק חדשות 
לעצמאים בתוך שנתיים ואת המינהל לשווקן בסיום התכנון.",,0,0,משרד התשתיות,
136,"דו""ח ועדת טרכטנברג",יוקר המחייה,,תחרות בשווקים,ענף הרכב,המלצות לקידום תחרות,"מוצע להקים 
וועדה ציבורית בין-משרדית שתגבש אמצעי פעולה אופרטיביים ומשלימים להגברת התחרות  בענף הרכב. כיווני הפעולה המומלצים הם: הפחתת משקלן של חברות הליסינג בענף בכלל 
8  הגב' מיכל עבאדי-בויאנג'ו לא נטלה חלק בדיון בנושא זה.183
  עיקרי ההמלצות - יוקר המחיה והתחרותיות וברכבים המשפחתיים בפרט;",לא הוגדרה עלות כספית,0,0,הקמת ועדה ציבורית בין משרדית,
137,"דו""ח ועדת טרכטנברג",יוקר המחייה,,תחרות בשווקים,ענף הסולר לתחבורה,"הורדת מחיר הסולר שמשמעו חיסכון של כ-400 מיליון ש""ח בשנה","יש להחיל פיקוח מיידי על מחירי סולר לתחבורה, בשער בתי הזיקוק ובתחנות התדלוק, בדומה למנגנון הפיקוח בשוק הבנזין.",לא הוגדרה עלות כספית,0,0,משרד התשתיות,
138,"דו""ח ועדת טרכטנברג",יוקר המחייה,,תחרות בשווקים,ענף הבנקאות הקמעונאית,פישוט המוצר הבנקאי והקמת Credit Buearu,"לצורך כך מוצע להקים ועדה שתציע פתרונות
,Credit Bureaus לפישוט המוצר הבנקאי, להעצמת כוח המיקוח של הלקוחות ולהקמת
במגזר משקי הבית והעסקים הקטנים. הועדה תכלול נציגי הפיקוח על הבנקים מבנק ישראל, משרד המשפטים, משרד האוצר ורשות ההגבלים העסקיים, ותגיש את המלצותיה לנגיד בנק
ישראל ושר האוצר בתוך 120 יום ממועד הקמתה.",לא הוגדרה עלות כספית,0,0,"הקמת ועדה של בנק ישראל, משרד האוצר, רשות להגבלים עסקיים",
139,"דו""ח ועדת טרכטנברג",יוקר המחייה,,תחרות בשווקים,ענף המלט,הגדלת ייבוא המלט לישראל והורדת המחיר באופן ניכר,"יש לעדכן
את דו""ח סוארי לבדיקת רווחיות של חברות במסגרת פיקוח מחירים. שנית, הוועדה ממליצה
להורות לרשות הספנות והנמלים בשיתוף אגף התקציבים במשרד האוצר וחברת נמלי ישראל
לפעול להגדרת רציף המלט בנמל אשדוד כרציף מסחרי, כולל בחינת המשמעות התפעולית
של מהלך כזה ותרומתו להגברת ייבוא המלט לישראל. הצוות יגיש את המלצתו תוך 60 יום
לשרי התחבורה והאוצר.",לא הוגדרה עלות כספית,0,0,משרד האוצר,
140,"דו""ח ועדת טרכטנברג",יוקר המחייה,,,תחרות בשווקים,הפחתת הנטל על החוסכים,ענף החסכון הפנסיוני,,0,0,,
141,"דו""ח ועדת טרכטנברג",יוקר המחייה,,תחרות בשווקים,ייבוא דרך האינטרנט,עדכון סעיף הפטור ממכס,"להטיל על רשות המיסים להציג לממשלה בתוך 90 יום, תוכנית פעולה מפורטת על מנת שלכל
אזרח ישראלי יתאפשר לייבא – ביבוא אישי – כל פריט או מוצר בשווי של עד 300$ בפטור מלא
ממכס וללא צורך למלא טפסים או לפגוש את פקידי המכס או המע""מ.",לא הוגדרה עלות כספית,0,0,רשות המיסים,
142,"דו""ח ועדת טרכטנברג",יוקר המחייה,,תחרות בשווקים,ענף התחבורה הציבורית,תכנית מפורטת להוצאת כלל קווי השירות למכרז בתנאי תחרות,"הועדה ממליצה להשלים את
פתיחת כלל שוק התחבורה הציבורית לתחרות. לצורך כך , יש לחייב את המדינה להקצאת
רישיונות להפעלת אשכולות קווי שירות רק בהליך תחרותי. יש לקבוע שכלל מפעילי התחבורה
הציבורית יצטרכו לפעול בתנאי מחירים ורמת שירות תחרותיים בהקדם האפשרי ולא יאוחר
מ 2015- . לצורך היישום מוצע להנחות את משרדי התחבורה והאוצר להכין תוך 90 יום תוכנית מפורטת להוצאת כלל קווי השירות למכרז בתנאי תחרות",לא הוגדה עלות כספית,0,0,משרד התחבורה ,משרד האוצר
143,"דו""ח ועדת טרכטנברג",יוקר המחייה,,גילאי 3-9,דיגיטציה של ספרי לימוד,"תכני לימוד דיגיטליים אשר יהוו
תחליף לשימוש בספרי לימוד","דיגיטציה של ספרי לימוד קיימים
וחיוב מהדורה דיגיטלית של ספרי
לימוד חדשים",חלק מתוכנית החומש להפחתת תשלומי הורים,2000,5,משרד החינוך,
144,"דו""ח ועדת טרכטנברג",יוקר המחייה,,חינוך,מיקור חוץ במשרד החינוך,המלצות,"בחינת מדיניות לאופן 'מיקור
החוץ'",אין,0,0,"משרד רה""מ + אג""ת","צוות בראשות מנכ""ל משרד רה""מ והממונה על התקציבים"
145,"דו""ח ועדת טרכטנברג",שירותים חברתיים,,סיעוד,רפורמה בשירותים סיעודיים,לא נקבע מדד תוצאה,"מומלץ לתכלל את הכלים הממשלתיים באמצעות שיפור הקשר ושיתוף הפעולה בין הגופים הממשלתיים השונים. במסגרת זו ייבחן מתן מענה במסגרות קהילתיות
לקשישים סיעודיים באמצעות תגבור מערך הקהילות התומכות ומרכזי היום לקשישים והגדלת הזמינות שלהם לאוכלוסייה. בנוסף, בהמשך לתוכנית שהפעיל משרד הבריאות יחד עם קופות החולים בשנים
2010-2008 מוצע להמשיך לשפר את הקשר, והתאום בין הגופים ולצרף גם את המוסד לביטוח לאומי על מנת לשפר את הטיפול שניתן לקשיש בקהילה, תוך הפנמת העלות הכוללת של הטיפול באוכלוסייה זו. יש להסתמך על כח עובדים ישראלי. ","מוצע להקצות למימוש המלצות אלה סכום של כ- 1.7 מליארדי ₪ על פני החומש הקרוב. התקצוב 150 מליון ש""ח) ובעליה הדרגתית עד ל- 600 מלש""ח בשנת 2016 (מתוכם 300 ) ייפרס החל משנת 2013
מלש""ח בבסיס התקציב בהבשלה מלאה).",1700,5,משרד התחבורה והאוצר,ביטוח לאומי
146,"דו""ח ועדת טרכטנברג",סיעוד,,,morchickit01,תכנית מפורטת להוצאת כלל קווי השירות למכרז בתנאי תחרות,"בכדי לסייע לקשיש ולבני משפחתו, מומלץ לתכלל את הכלים הממשלתיים באמצעות שיפור הקשר
ושיתוף הפעולה בין הגופים הממשלתיים השונים. במסגרת זו ייבחן מתן מענה במסגרות קהילתיות
לקשישים סיעודיים באמצעות תגבור מערך הקהילות התומכות ומרכזי היום לקשישים והגדלת הזמינות
שלהם לאוכלוסייה. בנוסף, בהמשך לתוכנית שהפעיל משרד הבריאות יחד עם קופות החולים בשנים
2010-2008 מוצע להמשיך לשפר את הקשר, והתאום בין הגופים ולצרף גם את המוסד לביטוח לאומי
וזאת על מנת לשפר את הטיפול שניתן לקשיש בקהילה, תוך הפנמת העלות הכוללת של הטיפול באוכלוסייה זו.",,0,0,משרד התחבורה והאוצר,
147,"דו""ח ועדת טרכטנברג",סיעוד,,,morchickit02,תכנית מפורטת להוצאת כלל קווי השירות למכרז בתנאי תחרות,"בכדי לסייע לקשיש ולבני משפחתו, מומלץ לתכלל את הכלים הממשלתיים באמצעות שיפור הקשר
ושיתוף הפעולה בין הגופים הממשלתיים השונים. במסגרת זו ייבחן מתן מענה במסגרות קהילתיות
לקשישים סיעודיים באמצעות תגבור מערך הקהילות התומכות ומרכזי היום לקשישים והגדלת הזמינות
שלהם לאוכלוסייה. בנוסף, בהמשך לתוכנית שהפעיל משרד הבריאות יחד עם קופות החולים בשנים
2010-2008 מוצע להמשיך לשפר את הקשר, והתאום בין הגופים ולצרף גם את המוסד לביטוח לאומי
וזאת על מנת לשפר את הטיפול שניתן לקשיש בקהילה, תוך הפנמת העלות הכוללת של הטיפול באוכלוסייה זו.",,0,0,משרד התחבורה והאוצר,
148,"דו""ח ועדת טרכטנברג",סיעוד,,,morchickit03,תכנית מפורטת להוצאת כלל קווי השירות למכרז בתנאי תחרות,"בכדי לסייע לקשיש ולבני משפחתו, מומלץ לתכלל את הכלים הממשלתיים באמצעות שיפור הקשר
ושיתוף הפעולה בין הגופים הממשלתיים השונים. במסגרת זו ייבחן מתן מענה במסגרות קהילתיות
לקשישים סיעודיים באמצעות תגבור מערך הקהילות התומכות ומרכזי היום לקשישים והגדלת הזמינות
שלהם לאוכלוסייה. בנוסף, בהמשך לתוכנית שהפעיל משרד הבריאות יחד עם קופות החולים בשנים
2010-2008 מוצע להמשיך לשפר את הקשר, והתאום בין הגופים ולצרף גם את המוסד לביטוח לאומי
וזאת על מנת לשפר את הטיפול שניתן לקשיש בקהילה, תוך הפנמת העלות הכוללת של הטיפול באוכלוסייה זו.",,0,0,משרד התחבורה והאוצר,
149,"דו""ח ועדת טרכטנברג",סיעוד,,,morchickit04,תכנית מפורטת להוצאת כלל קווי השירות למכרז בתנאי תחרות,"בכדי לסייע לקשיש ולבני משפחתו, מומלץ לתכלל את הכלים הממשלתיים באמצעות שיפור הקשר
ושיתוף הפעולה בין הגופים הממשלתיים השונים. במסגרת זו ייבחן מתן מענה במסגרות קהילתיות
לקשישים סיעודיים באמצעות תגבור מערך הקהילות התומכות ומרכזי היום לקשישים והגדלת הזמינות
שלהם לאוכלוסייה. בנוסף, בהמשך לתוכנית שהפעיל משרד הבריאות יחד עם קופות החולים בשנים
2010-2008 מוצע להמשיך לשפר את הקשר, והתאום בין הגופים ולצרף גם את המוסד לביטוח לאומי
וזאת על מנת לשפר את הטיפול שניתן לקשיש בקהילה, תוך הפנמת העלות הכוללת של הטיפול באוכלוסייה זו.",,0,0,משרד התחבורה והאוצר,
150,"דו""ח ועדת טרכטנברג",סיעוד,,,morchickit05,תכנית מפורטת להוצאת כלל קווי השירות למכרז בתנאי תחרות,"בכדי לסייע לקשיש ולבני משפחתו, מומלץ לתכלל את הכלים הממשלתיים באמצעות שיפור הקשר
ושיתוף הפעולה בין הגופים הממשלתיים השונים. במסגרת זו ייבחן מתן מענה במסגרות קהילתיות
לקשישים סיעודיים באמצעות תגבור מערך הקהילות התומכות ומרכזי היום לקשישים והגדלת הזמינות
שלהם לאוכלוסייה. בנוסף, בהמשך לתוכנית שהפעיל משרד הבריאות יחד עם קופות החולים בשנים
2010-2008 מוצע להמשיך לשפר את הקשר, והתאום בין הגופים ולצרף גם את המוסד לביטוח לאומי
וזאת על מנת לשפר את הטיפול שניתן לקשיש בקהילה, תוך הפנמת העלות הכוללת של הטיפול באוכלוסייה זו.",,0,0,משרד התחבורה והאוצר,
